Date,Open,High,Low,Close,Adj Close,Volume
2022-08-01,11.165000,11.250000,10.740000,11.020000,11.020000,2936300
2022-08-02,10.700000,11.820000,10.670000,11.710000,11.710000,3820100
2022-08-03,11.750000,11.955000,11.380000,11.660000,11.660000,3014100
2022-08-04,11.720000,12.639000,11.690000,12.330000,12.330000,5116000
2022-08-05,12.880000,14.480000,12.650000,14.450000,14.450000,9070900
2022-08-08,14.770000,16.389999,14.730000,14.840000,14.840000,7262100
2022-08-09,14.560000,15.120000,14.270000,14.660000,14.660000,5064300
2022-08-10,15.090000,15.280000,14.390000,15.010000,15.010000,5197000
2022-08-11,15.250000,15.300000,14.410000,14.660000,14.660000,3443600
2022-08-12,14.900000,15.610000,14.461000,15.580000,15.580000,4622100
2022-08-15,15.750000,16.809999,15.630000,16.559999,16.559999,7171500
2022-08-16,16.620001,16.980000,15.460000,15.760000,15.760000,3962400
2022-08-17,15.430000,15.722000,14.510000,15.080000,15.080000,3792100
2022-08-18,15.390000,16.490000,15.330000,16.129999,16.129999,4543400
2022-08-19,15.480000,15.700000,14.085000,14.610000,14.610000,4317000
2022-08-22,13.890000,14.216000,13.640000,13.900000,13.900000,3681900
2022-08-23,14.150000,14.320000,13.610000,13.730000,13.730000,2983700
2022-08-24,13.830000,15.020000,13.760000,14.780000,14.780000,4510900
2022-08-25,15.200000,15.300000,14.340000,15.240000,15.240000,4288100
2022-08-26,15.250000,15.710000,14.535000,14.630000,14.630000,3964900
2022-08-29,14.260000,15.300000,14.180000,14.630000,14.630000,2177100
2022-08-30,15.040000,15.630000,14.351000,14.700000,14.700000,3020900
2022-08-31,14.940000,15.980000,14.940000,15.720000,15.720000,4499400
2022-09-01,15.160000,15.500000,13.780000,14.400000,14.400000,4724300
2022-09-02,14.810000,14.910000,13.740000,14.170000,14.170000,3032200
2022-09-06,14.390000,14.486000,13.630000,14.110000,14.110000,2073400
2022-09-07,14.340000,15.650000,14.290000,15.630000,15.630000,7655100
2022-09-08,15.310000,16.280001,15.130000,16.160000,16.160000,5694800
2022-09-09,16.370001,16.711000,16.010000,16.400000,16.400000,3959500
